Feature_A,Feature_B,Feature_C,Feature_D,target
15.0,12000.0,High,Blue,1
22.5,25000.0,Low,Red,0
,35000.0,Medium,Green,1
31.0,,Low,Blue,0
18.0,18000.0,High,Red,1
27.5,42000.0,Medium,Green,0
14.0,11000.0,High,Red,1
20.0,23000.0,Low,Blue,0
29.0,38000.0,Medium,Blue,1
25.0,30000.0,Low,Green,0
16.5,14500.0,High,Red,1
21.0,26000.0,Low,Blue,0
30.0,36000.0,Medium,Green,1
19.5,19000.0,High,Red,0
24.0,28000.0,Low,Blue,1
28.5,40000.0,Medium,Red,0
15.5,13000.0,High,Green,1
23.5,27000.0,Low,Blue,0
32.0,45000.0,Medium,Red,1
17.0,16000.0,High,Green,0
26.5,32000.0,Low,Red,1
19.0,17000.0,High,Blue,0
20.5,24000.0,Low,Green,1
33.0,48000.0,Medium,Blue,0
25.5,31000.0,Low,Red,1